CONTAINER ID   NAME                         CPU %     MEM USAGE / LIMIT   MEM %     NET I/O      BLOCK I/O        PIDS
ef0a9ca3da1c   example-reactive-service-1   48.11    192.2MiB / 512MiB   37.55    55.3MB / 41.5MB   19.1MB / 2.11MB   18
ef0a9ca3da1c   example-reactive-service-1   21.59    192.2MiB / 512MiB   37.54    56MB / 42MB   19.1MB / 2.13MB   18
ef0a9ca3da1c   example-reactive-service-1   27.04    188.3MiB / 512MiB   36.78    56.7MB / 42.5MB   19.1MB / 2.14MB   18
ef0a9ca3da1c   example-reactive-service-1   14.04    188.5MiB / 512MiB   36.81    57.4MB / 43.1MB   19.1MB / 2.16MB   18
ef0a9ca3da1c   example-reactive-service-1   12.18    188.3MiB / 512MiB   36.78    58.1MB / 43.6MB   19.1MB / 2.17MB   18
ef0a9ca3da1c   example-reactive-service-1   12.35    188.2MiB / 512MiB   36.75    58.8MB / 44.1MB   19.1MB / 2.19MB   18
ef0a9ca3da1c   example-reactive-service-1   14.01    188.3MiB / 512MiB   36.77    59.5MB / 44.6MB   19.1MB / 2.2MB   18
ef0a9ca3da1c   example-reactive-service-1   20.50    190.1MiB / 512MiB   37.13    60.1MB / 45.1MB   19.1MB / 2.22MB   18
ef0a9ca3da1c   example-reactive-service-1   40.99    192.7MiB / 512MiB   37.63    60.8MB / 45.5MB   19.1MB / 2.25MB   18
ef0a9ca3da1c   example-reactive-service-1   15.00    192.3MiB / 512MiB   37.56    61.7MB / 46.1MB   19.1MB / 2.27MB   18
ef0a9ca3da1c   example-reactive-service-1   14.59    192MiB / 512MiB     37.50    62.4MB / 46.7MB   19.1MB / 2.27MB   18
ef0a9ca3da1c   example-reactive-service-1   24.35    193.1MiB / 512MiB   37.71    63.1MB / 47.2MB   19.1MB / 2.28MB   18
ef0a9ca3da1c   example-reactive-service-1   13.29    193.5MiB / 512MiB   37.80    63.8MB / 47.7MB   19.1MB / 2.31MB   18
ef0a9ca3da1c   example-reactive-service-1   10.83    193.6MiB / 512MiB   37.81    64.5MB / 48.3MB   19.1MB / 2.33MB   18
ef0a9ca3da1c   example-reactive-service-1   12.95    193.6MiB / 512MiB   37.82    65.2MB / 48.8MB   19.1MB / 2.35MB   18
ef0a9ca3da1c   example-reactive-service-1   13.41    193.6MiB / 512MiB   37.82    65.8MB / 49.3MB   19.1MB / 2.36MB   18
ef0a9ca3da1c   example-reactive-service-1   11.22    193.6MiB / 512MiB   37.82    66.5MB / 49.8MB   19.1MB / 2.39MB   18
ef0a9ca3da1c   example-reactive-service-1   11.95    193.6MiB / 512MiB   37.80    67.2MB / 50.3MB   19.1MB / 2.4MB   18
ef0a9ca3da1c   example-reactive-service-1   10.92    194.4MiB / 512MiB   37.98    67.8MB / 50.8MB   19.1MB / 2.42MB   18
ef0a9ca3da1c   example-reactive-service-1   15.91    194.6MiB / 512MiB   38.02    68.4MB / 51.2MB   19.1MB / 2.44MB   18
ef0a9ca3da1c   example-reactive-service-1   13.45    194.5MiB / 512MiB   38.00    69.2MB / 51.8MB   19.1MB / 2.45MB   18
ef0a9ca3da1c   example-reactive-service-1   16.34    194.8MiB / 512MiB   38.04    69.7MB / 52.2MB   19.1MB / 2.47MB   18
ef0a9ca3da1c   example-reactive-service-1   13.39    194.7MiB / 512MiB   38.02    70.5MB / 52.8MB   19.1MB / 2.49MB   18
ef0a9ca3da1c   example-reactive-service-1   14.17    194.9MiB / 512MiB   38.06    71.1MB / 53.2MB   19.1MB / 2.5MB   18
ef0a9ca3da1c   example-reactive-service-1   11.25    194.7MiB / 512MiB   38.03    71.8MB / 53.8MB   19.1MB / 2.52MB   18
ef0a9ca3da1c   example-reactive-service-1   11.31    194.6MiB / 512MiB   38.00    72.5MB / 54.3MB   19.1MB / 2.54MB   18
ef0a9ca3da1c   example-reactive-service-1   13.32    199MiB / 512MiB     38.88    73.3MB / 54.9MB   19.1MB / 2.55MB   18
ef0a9ca3da1c   example-reactive-service-1   15.00    194.5MiB / 512MiB   37.99    74MB / 55.4MB   19.1MB / 2.57MB   18
ef0a9ca3da1c   example-reactive-service-1   7.62     194MiB / 512MiB     37.90    74.4MB / 55.7MB   19.1MB / 2.58MB   18
ef0a9ca3da1c   example-reactive-service-1   1.54     193.6MiB / 512MiB   37.82    74.4MB / 55.7MB   19.1MB / 2.59MB   18
ef0a9ca3da1c   example-reactive-service-1   0.12     193.5MiB / 512MiB   37.80    74.4MB / 55.8MB   19.1MB / 2.59MB   18
ef0a9ca3da1c   example-reactive-service-1   0.17     193.5MiB / 512MiB   37.80    74.4MB / 55.8MB   19.1MB / 2.61MB   18
ef0a9ca3da1c   example-reactive-service-1   0.17     193.5MiB / 512MiB   37.80    74.4MB / 55.8MB   19.1MB / 2.62MB   18
ef0a9ca3da1c   example-reactive-service-1   0.16     193.5MiB / 512MiB   37.80    74.4MB / 55.8MB   19.1MB / 2.63MB   18
ef0a9ca3da1c   example-reactive-service-1   0.14     193.5MiB / 512MiB   37.80    74.4MB / 55.8MB   19.1MB / 2.63MB   18
ef0a9ca3da1c   example-reactive-service-1   0.17     193.5MiB / 512MiB   37.80    74.4MB / 55.8MB   19.1MB / 2.65MB   18
